epoch,step,test_acc,test_auc,test_loss,train_loss,val_acc,val_auc,val_loss
0,0,,,,,0.13534586131572723,0.5562705397605896,2.195899248123169
0,49,,,,2.151185989379883,,,
0,99,,,,1.9860408306121826,,,
0,149,,,,1.7540466785430908,,,
0,199,,,,1.5409698486328125,,,
0,249,,,,1.3685894012451172,,,
0,299,,,,1.186740756034851,,,
0,349,,,,1.165167212486267,,,
0,399,,,,0.9603012800216675,,,
0,449,,,,0.967333972454071,,,
0,499,,,,0.955519437789917,,,
0,549,,,,0.7946457862854004,,,
0,599,,,,0.7935065627098083,,,
0,649,,,,0.7947291135787964,,,
0,699,,,,0.8328450918197632,,,
0,703,,,,,0.6707317233085632,0.944264829158783,0.8819910287857056
1,749,,,,0.7921484112739563,,,
1,799,,,,0.8697874546051025,,,
1,849,,,,0.6566075086593628,,,
1,899,,,,0.968726396560669,,,
1,949,,,,0.7064378261566162,,,
1,999,,,,0.7778553366661072,,,
1,1049,,,,0.7152563333511353,,,
1,1099,,,,0.582822322845459,,,
1,1149,,,,0.6933300495147705,,,
1,1199,,,,0.6727204322814941,,,
1,1249,,,,0.6320056915283203,,,
1,1299,,,,0.4918273389339447,,,
1,1349,,,,0.6192640066146851,,,
1,1399,,,,0.5646286010742188,,,
1,1407,,,,,0.6428428888320923,0.9505350589752197,1.006185531616211
2,1408,0.548328697681427,0.9234699606895447,1.8053264617919922,,,,
