epoch,step,test_acc,test_auc,test_loss,train_loss,val_acc,val_auc,val_loss
0,49,,,,1.7801073789596558,,,
0,99,,,,1.3772053718566895,,,
0,149,,,,1.2193659543991089,,,
0,199,,,,1.148491621017456,,,
0,249,,,,0.9384429454803467,,,
0,299,,,,1.0741418600082397,,,
0,349,,,,0.8504729270935059,,,
0,399,,,,0.877049446105957,,,
0,449,,,,0.6923209428787231,,,
0,499,,,,0.9505898356437683,,,
0,549,,,,0.7716817855834961,,,
0,599,,,,0.6477285623550415,,,
0,649,,,,0.684428334236145,,,
0,699,,,,0.6477423906326294,,,
0,703,,,,,0.7623950242996216,0.9674866795539856,0.6441774964332581
1,749,,,,0.6109920740127563,,,
1,799,,,,0.6886809468269348,,,
1,849,,,,0.5880411863327026,,,
1,899,,,,0.8237824440002441,,,
1,949,,,,0.41996949911117554,,,
1,999,,,,0.6477589011192322,,,
1,1049,,,,0.7252785563468933,,,
1,1099,,,,0.6757047176361084,,,
1,1149,,,,0.5089712142944336,,,
1,1199,,,,0.6925389766693115,,,
1,1249,,,,0.4882451295852661,,,
1,1299,,,,0.5942407250404358,,,
1,1349,,,,0.3585192561149597,,,
1,1399,,,,0.5157489776611328,,,
1,1407,,,,,0.8321671485900879,0.9816508889198303,0.47160032391548157
2,1408,0.7654595971107483,0.9630662202835083,0.6721422076225281,,,,
